鼎龙文化股份有限公司,"ST鼎龙
监管函
上市公司","ST鼎龙
监管函
上市公司",-1,低,其他,其他,其他,监管措施与纪律处分-监管措施,深圳证券交易所,https://reportdocs.static.szse.cn/UpFiles/zqjghj/sup_jghj_000191089A422B3FC89C0592C91C803F.docx,2024-07-31 00:00:00,2
倩碧控股有限公司,"08367,倩碧控股 2024年度報告財務報表/環境、社會及管治資料 - [年報]","08367,倩碧控股 2024年度報告財務報表/環境、社會及管治資料 - [年報]",0,低,其他,其他,其他,创业板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0731/2024073100748_c.pdf,2024-07-31 17:09:00,
江苏通光电子线缆股份有限公司,"通光线缆
监管函
上市公司","通光线缆
监管函
上市公司",-1,低,其他,其他,其他,监管措施与纪律处分-监管措施,深圳证券交易所,https://reportdocs.static.szse.cn/UpFiles/zqjghj/sup_jghj_00019108B7C5E73FD065444B696D023F.pdf,2024-07-31 00:00:00,"1,2"
月31,"08532,寶發控股 截至2024年3月31日止年度的全年業績公告及恢復買賣公告及通告 - [末期業績 / 復牌]","08532,寶發控股 截至2024年3月31日止年度的全年業績公告及恢復買賣公告及通告 - [末期業績 / 復牌]",0,低,其他,其他,其他,创业板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0731/2024073101713_c.pdf,2024-07-31 22:23:00,4
月31,"08181,時時服務 於2024年7月31日舉行的股東週年大會的投票表決結果公告及通告 - [股東周年大會的結果]","08181,時時服務 於2024年7月31日舉行的股東週年大會的投票表決結果公告及通告 - [股東周年大會的結果]",0,低,其他,其他,其他,创业板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0731/2024073100650_c.pdf,2024-07-31 16:59:00,4
太平洋酒吧集团控股有限公司,"08432,太平洋酒吧 致非登記股東之函件及申請表格通函 - [其他]","08432,太平洋酒吧 致非登記股東之函件及申請表格通函 - [其他]",0,低,其他,其他,其他,创业板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0731/2024073101697_c.pdf,2024-07-31 22:07:00,
威雅利电子(集团)有限公司,"00854,威雅利 全面收購要約展示文件","00854,威雅利 全面收購要約展示文件",0,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101486_c.htm,2024-07-31 21:10:00,
太平洋酒吧集团控股有限公司,"08432,太平洋酒吧 致登記股東之函件及更改表格通函 - [其他]","08432,太平洋酒吧 致登記股東之函件及更改表格通函 - [其他]",0,低,其他,其他,其他,创业板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0731/2024073101693_c.pdf,2024-07-31 22:05:00,
威雅利电子(集团)有限公司,"00854,威雅利 要約股份接納及授權表格（新加坡）通函 - [《收購守則》所指的要約公司發出的文件]","00854,威雅利 要約股份接納及授權表格（新加坡）通函 - [《收購守則》所指的要約公司發出的文件]",0,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101481_c.pdf,2024-07-31 21:05:00,
太平洋酒吧集团控股有限公司,"08432,太平洋酒吧 年度報告 2023/24財務報表/環境、社會及管治資料 - [年報 / 環境、社會及管治資料/報告]","08432,太平洋酒吧 年度報告 2023/24財務報表/環境、社會及管治資料 - [年報 / 環境、社會及管治資料/報告]",0,低,其他,其他,其他,创业板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/gem/2024/0731/2024073101583_c.pdf,2024-07-31 21:49:00,
